industry,product_id,handle,source_tag
clinics-doctors-offices,8651919917272,3-2mm-3-piece-resin-disposable-trocar-only-b6819,industry:clinic
hrt-clinics,8651919917272,3-2mm-3-piece-resin-disposable-trocar-only-b6819,industry:hrt-surgery
urgent-care,8651919917272,3-2mm-3-piece-resin-disposable-trocar-only-b6819,industry:urgent-care
clinics-doctors-offices,8651919982808,3-2mm-resin-trocar-tray-kit-with-antiseptic-medium-glove-b1351,industry:clinic
hrt-clinics,8651919982808,3-2mm-resin-trocar-tray-kit-with-antiseptic-medium-glove-b1351,industry:hrt-surgery
urgent-care,8651919982808,3-2mm-resin-trocar-tray-kit-with-antiseptic-medium-glove-b1351,industry:urgent-care
clinics-doctors-offices,8651920048344,3-2mm-resin-trocar-wrapped-kit-with-antiseptic-medium-glove-b6705,industry:clinic
hrt-clinics,8651920048344,3-2mm-resin-trocar-wrapped-kit-with-antiseptic-medium-glove-b6705,industry:hrt-surgery
urgent-care,8651920048344,3-2mm-resin-trocar-wrapped-kit-with-antiseptic-medium-glove-b6705,industry:urgent-care
clinics-doctors-offices,8651920179416,3-2mm-resin-trocar-wrapped-kit-with-chlorascrub-tegaderm-medium-glove-b9743,industry:clinic
hrt-clinics,8651920179416,3-2mm-resin-trocar-wrapped-kit-with-chlorascrub-tegaderm-medium-glove-b9743,industry:hrt-surgery
urgent-care,8651920179416,3-2mm-resin-trocar-wrapped-kit-with-chlorascrub-tegaderm-medium-glove-b9743,industry:urgent-care
clinics-doctors-offices,8651920212184,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-antiseptic-large-gloves-b8108,industry:clinic
hrt-clinics,8651920212184,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-antiseptic-large-gloves-b8108,industry:hrt-surgery
urgent-care,8651920212184,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-antiseptic-large-gloves-b8108,industry:urgent-care
clinics-doctors-offices,8651920277720,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-antiseptic-medium-glove-b8109,industry:clinic
hrt-clinics,8651920277720,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-antiseptic-medium-glove-b8109,industry:hrt-surgery
urgent-care,8651920277720,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-antiseptic-medium-glove-b8109,industry:urgent-care
clinics-doctors-offices,8651920310488,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-chlorascrub-tegaderm-large-glove-b8110,industry:clinic
hrt-clinics,8651920310488,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-chlorascrub-tegaderm-large-glove-b8110,industry:hrt-surgery
urgent-care,8651920310488,3-2mm-stainless-steel-trocar-sharp-wrapped-kit-with-chlorascrub-tegaderm-large-glove-b8110,industry:urgent-care
clinics-doctors-offices,8651920343256,3-2mm-stainless-steel-trocar-wrapped-kit-with-chlorascrub-tegaderm-medium-glove-b1654,industry:clinic
hrt-clinics,8651920343256,3-2mm-stainless-steel-trocar-wrapped-kit-with-chlorascrub-tegaderm-medium-glove-b1654,industry:hrt-surgery
urgent-care,8651920343256,3-2mm-stainless-steel-trocar-wrapped-kit-with-chlorascrub-tegaderm-medium-glove-b1654,industry:urgent-care
clinics-doctors-offices,8651920376024,3-5mm-stainless-steel-bevel-tip-autoclave-trocar-b786-04,industry:clinic
hrt-clinics,8651920376024,3-5mm-stainless-steel-bevel-tip-autoclave-trocar-b786-04,industry:hrt-surgery
urgent-care,8651920376024,3-5mm-stainless-steel-bevel-tip-autoclave-trocar-b786-04,industry:urgent-care
clinics-doctors-offices,8651920408792,3-5mm-premium-stainless-steel-trocar-pellet-insertion-wrap-kit-large-glove-b9175c,industry:clinic
hrt-clinics,8651920408792,3-5mm-premium-stainless-steel-trocar-pellet-insertion-wrap-kit-large-glove-b9175c,industry:hrt-surgery
urgent-care,8651920408792,3-5mm-premium-stainless-steel-trocar-pellet-insertion-wrap-kit-large-glove-b9175c,industry:urgent-care
clinics-doctors-offices,8651920441560,3-5mm-ss-disposable-trocar-long-shaft-b1714,industry:clinic
hrt-clinics,8651920441560,3-5mm-ss-disposable-trocar-long-shaft-b1714,industry:hrt-surgery
