l1_category_tag,distinct_active_subcategories
exam-room,97
home-care,72
hygiene,56
needles-syringes,51
wound-care,50
testing,47
mobility,43
patient-therapy-rehab,42
non-medical,40
surgery-procedure,36
emergency-supplies,34
bariatric,33
dental,31
respiratory,31
apparel,28
room-furniture,21
housekeeping-janitorial,15
surgical-sutures,13
incontinence,12
office-supplies,12
face-masks,10
pharmacy-products,10
gloves,9
iv-therapy,8
sterilization,6
urology-ostomy,6
disinfectants,4
non-healthcare,3
daily-living-aids,1
