handle,title,variant_sku,variant_id,price,inventory_policy,delivery_profile
xylocaine-1-w-epinephrine-20ml-mdv-63323-0482-27-order-for-pricing,"Xylocaine 1% w/ Epinephrine, 20mL, MDV (63323-0482-27)",2354,50340842209496,0.00,DENY,General profile
hospira-bacteriostatic-water-for-injection-mdv-30ml-pack-of-25-00409-1966-02,"Hospira, Bacteriostatic Water For Injection MDV, 30ml, Pack of 25 (00409-1966-02) *Physician's License Required*",1049,50365860872408,0.00,DENY,General profile
somerset-bupivacaine-0-25-2-5mg-ml-injection-mdv-50ml-pack-of-25-70069-0752-01,"Somerset, Bupivacaine 0.25% 2.5mg/ml Injection MDV, 50ml, Pack of 25 (70069-0752-01)",2081,50365867294936,0.00,DENY,General profile
hospira-bupivacaine-0-5-5mg-ml-injection-p-f-sdv-30ml-pack-of-25-00409-1162-19,"Hospira, Bupivacaine 0.5% 5mg/ml Injection P/F SDV, 30ml, Pack of 25 (00409-1162-19)",1003,50365870178520,0.00,DENY,General profile
hospira-bupivacaine-0-5-injection-5mg-ml-mdv-50ml-pack-of-25-00409-1163-18,"Hospira, Bupivacaine 0.5% Injection 5MG/ML MDV, 50ml, Pack of 25 (00409-1163-18)",3598,50365877321944,0.00,DENY,General profile
auromedics-bupivacaine-hcl-0-25-2-5mg-ml-injection-mdv-50ml-pack-of-25-55150-0249-50,"AuroMedics, Bupivacaine HCl 0.25% 2.5mg/ml Injection MDV, 50ml, Pack of 25 (55150-0249-50)",1328,50365880860888,0.00,DENY,General profile
apotex-ceftriaxone-sodium-500mg-injection-sdv-15ml-pack-of-10-60505-6152-01,"Apotex, Ceftriaxone Sodium 500Mg Injection SDV, 15ml, Pack of 10 (60505-6152-01)",1076,50365892067544,0.00,DENY,General profile
apotex-ceftriaxone-sodium-1gm-injection-sdv-1gm-box-of-10-00409-7332-01,"Apotex, Ceftriaxone Sodium, 1gm Injection SDV, 1gm, Box of 10 (00409-7332-01)",1063,50365895278808,0.00,DENY,General profile
organon-celestone-soluspan-6mg-ml-5ml-78206-0118-01,"Organon, Celestone Soluspan 6MG/ML, 5ml (78206-0118-01)",1111,50365899669720,0.00,DENY,General profile
somerset-cyanocobalamin-vitamin-b12-1000mcg-ml-injection-mdv-30ml-70069-0171-10,"Somerset, Cyanocobalamin Vitamin B12 1000MCG/ML Injection MDV, 30ml (70069-0171-10)",2547,50365903601880,0.00,DENY,General profile
hikma-diphenhydramine-50mg-injection-1ml-pack-of-25-00641-0376-21,"Hikma, Diphenhydramine 50MG Injection, 1ml, Pack of 25 (00641-0376-21)",1210,50365905928408,0.00,DENY,General profile
bpi-labs-epinephrine-1mg-ml-1-1000-injection-pf-ampule-1ml-pack-of-10-54288-0103-01,"BPI Labs, Epinephrine 1mg/ml, 1:1000 Injection PF  Ampule, 1ml, Pack of 10 (54288-0103-01)",1259,50365908779224,0.00,DENY,General profile
mylan-famotidine-20mg-2ml-injection-2ml-box-of-25-67457-0433-22,"Mylan, Famotidine 20MG/2ML Injection, 2ml, Box of 25 (67457-0433-22)",2645,50366089986264,0.00,DENY,General profile
